version,version_season,season,full_name,castaway_id,castaway,age,city,state,episode,day,order,result,jury_status,place,origil_tribe,jury,finalist,winner,acknowledge,ack_look,ack_speak,ack_gesture,ack_smile
US,US31,31,Jeff Varner,US0023,Jeff,49,Greensboro,North Carolina,4,11,4,4th voted out,,17,Ta Keo,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
US,US31,31,Monica Padilla,US0295,Monica,30,Queens,New York,5,13,5,5th voted out,,16,Bayon,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
US,US31,31,Terry Deitz,US0180,Terry,55,Simsbury,Connecticut,5,13,6,Withdrew,,15,Ta Keo,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
US,US31,31,Yung Hwang,US0423,Woo,31,Newport Beach,California,6,16,7,6th voted out,,14,Ta Keo,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
US,US31,31,Kassandra McQuillen,US0422,Kass,43,Tehachapi,California,7,19,8,7th voted out,1st jury member,13,Bayon,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
US,US31,31,Andrew Savage,US0105,Andrew,51,San Jose,California,8,21,9,8th voted out,2nd jury member,12,Bayon,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
US,US31,31,Kelly Wiglesworth,US0015,Kelly,37,Greensboro,North Carolina,9,24,10,9th voted out,3rd jury member,11,Ta Keo,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
US,US31,31,Ciera Eastin,US0406,Ciera,26,Salem,Oregon,10,26,11,10th voted out,4th jury member,10,Bayon,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
US,US31,31,Stephen Fishbach,US0280,Stephen,36,New York City,New York,11,29,12,11th voted out,5th jury member,9,Bayon,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
US,US31,31,Joe Anglim,US0451,Joe,26,Scottsdale,Arizona,12,32,13,12th voted out,6th jury member,8,Bayon,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
US,US31,31,Abi-Maria Gomes,US0383,Abi-Maria,35,Los Angeles,California,13,35,14,13th voted out,7th jury member,7,Ta Keo,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
US,US31,31,Kimmi Kappenberg,US0021,Kimmi,42,The Woodlands,Texas,14,36,15,14th voted out,8th jury member,6,Bayon,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
US,US31,31,Keith Nale,US0439,Keith,54,Keithville,Louisiana,14,37,16,15th voted out,9th jury member,5,Bayon,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
US,US31,31,Kelley Wentworth,US0429,Kelley,29,Seattle,Washington,14,38,17,16th voted out,10th jury member,4,Ta Keo,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
US,US31,31,Spencer Bledsoe,US0421,Spencer,22,Chicago,Illinois,14,39,18,Runner-up,,3,Ta Keo,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
US,US31,31,Latasha Fox,US0419,Tasha,38,St. Louis,Missouri,14,39,19,Runner-up,,2,Bayon,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
US,US31,31,Jeremy Collins,US0433,Jeremy,37,Foxboro,Massachusetts,14,39,20,Sole Survivor,,1,Bayon,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA
US,US30,30,So Kim,US0443,So,31,Long Beach,California,1,3,1,1st voted out,,18,Masaya,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
US,US30,30,Vince Sly,US0444,Vince,32,Santa Monica,California,2,6,2,2nd voted out,,17,Nagarote,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
